input,target
complaint wells fargo appraisals home shown us second appraisal believe first appraisal reflects true market value home second appraisal used support inflated counter offer wells fargo claims find first appraisal even though first appraisal done appro  named hired wells fargo find highly unusual unable locate first appraisal done  able locate share us second inflated appraisal done  timeline  made request wells fargo wf short sale wf requested schedule appraisal house see screen shots cell phone tet messages  onsite appraisal wf house agent see screen shots cell phone tet messages  submitted cash offer wfafter wf saw cash offer ordered second appraisal home  wf second appraisal homethis second appraisal produced home value believe value significantly higher true value home  wf denied approval cash offer countered counter offer made buyers pulled transaction requested see appraisals done wfwf gave us copy second appraisal done saw cash offer wf locate first appraisal believe wf using second appraisal support denial cash offer counter offer believe first appraisal would significantly lower accurate true value home therefore would multiple offers submit adequate backup offers,Mortgage
hard credit checks report dating back  authorize,Credit reporting
mortgage sold seneca mortgage idea days closing researched consumer rights notified days prior occurring days point payments due new mortgage company changed due date almost weeks different prior due date also asked call cell phone office phone times still nt called cell phone call office far frustrating situation ever part research nt follow guidelines,Mortgage
etended fraud alert account entitled free credit reports transunion online site shows fraud alert active  link request free fraud alert credit report takes page calculates price  report free appears way order free fraud alert credit report online interactive voice response system considerable difficulty able reach human order report waiting hold large fraction hour would like transunion fi defect site desired outcome fraud alert credit reports provided free charge link readily discoverable transunion home page attaching pdf showing fraud alert screen nonfree order page appears logic intended discount purchased credit reports california taking precedence logic provides free fraud alert credit reports,Credit reporting
business calls work # times week written records date time called one day picked phone lady pushy asking personal information verification address etc said owe money client would disclose client said know phone must address dispute bills mail sounded increasingly frustrated would even hint zipcode etc point receiving robocall phone calls never leave message pick robocall says name incorrectly pronounced says message continue listening acknowledge goes say call back number chase receivables debts never list work phone # anywhere ecept insurances though employer business phishing scam,Debt collection
state florida child support delinquency collection charge offor set payment plan never got current delinquency butcharge account transfered state alabama refusing correct origional delinquency date insisting consider origional date took account,Credit reporting
sent trans union letter remove hard credit inquiry  inquiry still present needs removed soon possible please,Credit reporting
violation forclosure sale filed  regards fraud morgage loan amount court documents filed stop sale home  court house filed sale take place civil rule chapter article article regaurding injunctions emergency restraining order stop sale hear evidence hearing produce evidence judge recieve relief quiet title action title held  dismissed attorney wellsfargo claimed sale took place anyway based merits grounds relief judge would even let us speak submit evidence let defendant talk neglected us even though tro disolved untill  sale taken place behind back place time home eposed wellsfaro buy third party acording personal friend works transaction bank shows court system injuntion full force fall  worst part court house seems helping slip false documentation kick us home using wrong special proceeding numbers wrong information use docs pass forcloure rent home dismissals showing owner property sale home invalid based violation court order violation contemp court also previous documents bank wellsfargo claims forclose reconveyance done time call wellsfargo recover group handling complaints lady named threaten phone told realator along attorney going sue take court didnt take proposal get home back going start eviction proceedings husband didnt take offer call wellsfargo anymore call currently living driveway camper due told court house doesnt even know owns home law enforcement told stay told realator stay way kept going home im threatened sued keeping wellsfargo agents yet say forlcose documents facts epect somebody judical standards truth justice steps something like real soon decietful wrongful acts ever life pay close attention special proceeding numbers court house done justice fraud forclosure property notice voluntary dismal forclosure equity line survived file preliminary injunction filed regaurding pay close attention eviction order possession papers came us last document labled documentation forclosure dismissal paperwork showed us current record owner someone needs look,Mortgage
nationstar mortgage serviced loan house since beginning  auto debit monthly payment additionally made arrangements nationstar took loan able mail monthly principal payments nearly every single principal payment made date taken regular payment distributing payment partial principal partial interest call correct payments deduct total balance reduce interest payments keeping interest higher total amount also charging adjustment fee call correct errors company must stopped,Mortgage
co founder rush card security breached access bank account  days debit card deactivate ca nt get anyone phone hold hours look rush card see angry customers,Bank account or service
hi bank america customer living abroad money transfered boa bank live money sent information correct ecept trace done amount intermediary bank said sent money bank america information given regarding funds receipt funds reached bank  month receiving overdraft fees little help american banks bank america boa responding trace sent speaking boa saying see traces called every week getting help bank end investigating family go boa little help information sent boa regarding case opened investigation reason boa responded trace inquiries attached documents regarding case really need help thank,Bank account or service
mother purchased certificate deposit amount  kept lock bo dining room table important documents passed away sibling decided let cd continue mature agreed remain custody mothers personal matters homicide victim left heirs known cd kept since death decided negotiate cd  years old went wells fargo merged presented original cd referred banker seeing item referred different banker help mother left bank sent obtain affidavit collection personal property filled paperwork signature notarized returned bank informed issue would escalated branch manager bank made photocopies paperwork asked give time investigate speaking bank manager agreed certificate original pointed several highlights particular cd top states continuousno renewal necessary near center document states upon presentation surrender certificate please see attached copy document returned wells fargo located yesterday made contact bank manager told even though escalated case entity sent case declined negotiate cd sincerely believe mother would surrendered cd wished negotiate document wells fargo unable offer proof cashed cd sent copy document whoever could assist matter agreed pointed phrase upon surrender certificate properly endorsed clearly stated document attempting surrender belief document never cashed entity would take someone word mom cashed give mother value cd plus interest would earned b never lost either mother feel wells fargo negotiate cd face amount plus interest earned  years  month sincerely az cell,Bank account or service
credit reporting agency continues show inaccurate erroneous information credit report impeded ability secure favorable credit terms credit cards etc violation fair credit reporting act et althe following list inaccuracies erroneous status es still showing credit report ocwen loan servicing llc shows late payment status per complaint documentation go complaint ocwen mismanaged escrow result caused account appear fallen behind always paid according agreement ive ocwen education loans cancelled forgiven thus removed credit report inquiries two years old longer showing accountfinally new accounts ecept car loan via showing record,Credit reporting
asked monthly statement year told many different reasons ca nt one believe would want know money goes seems right used send happen another thing raises eyebrow ta year repeatedly asked told pay interest would provide one one last thing registered log account information payment history balance nothing another interesting thing last year applied car loan told officer home last  years said yo found credit history,Mortgage
cfpb compliant # sometime  call friend maryland illegally without authorization apparently withdrew  suntrust checking account suntrust bank allowed happen refused investigate repeated request another friend neighbor behalf went suntrust bank several times requested investigate theft funds requested suntrust forward checking account statement including copies withdrawals refused time knowingly give financial power attorney make withdrawals bank account,Bank account or service
judge said get get sale credit report,Mortgage
satisfied judgment filed placed credit report would like item removed credit report  year waiting period epired dropped item report would like transunion,Credit reporting
may concern husband sending written complaint regarding bank jpmorgan chase bank located nj following reasons started process house loan representative name  began assist us however reason stopped working bank entire process delayed informed new representative would following us name however never followed case one bank contacted us regarding status process started make calls find status loan taking progress negligence irresponsible representatives assisting us caused delayed closing first home due inconvenences closing house finally done  could processed earlier would like consider neglectfulness particular bank reconsider client jpmorgan chase bank met criteria change mip premium requirements fha loans took effect case number assignment date  attached documentation proves process began  please would appreciate reviewed information assist best possible way qualify resolutions applied  sincerely stwest new york nj #,Mortgage
 open please validate verify account providing necessary information removed credit bureau copy signed contract documents provide evidence relevant consumer liability debt question copies last whichever fewer account statements account numbers used bank appropriate predecessors identify debt issue itemized account amounts claimed owed connection debt sold including loan principal interest fees name issuing bank appropriate store brand name date source amount debtor last payment dates default amount owed information unresolved disputes fraud claims made debtor information collection efforts internal thirdparty efforts law firms made date sale debtor name address social security number,Credit reporting
financial difficulties continuously calls cell work phone asked call place employment nt allowed personal calls calls recorded continue call,Debt collection
account huntington national bank also set tet alerts manage account based current balance outstanding received tet alert stating account  positive account every time swiped card average swipe  per transaction leaving end day balance around  day end processing check go follow evening  showed beginning day balance called branch one able speak time called left message called branch manager later evening spoke reviewed phone said would talk district manager call back time everything went posted minimal debit card transactions account one person could eplain contacted telephone banking avail answer called branch advised branch manager longer worked left message lead teller never returned call called finally spoke asst branch manager eplained everything racked  service fees advised debit card transaction gone account  approved paid legitimate charge however never told previously tet alerts never reflected transaction coming since get alert every transaction told abm said rely alerts truth told even option nt correct could nt answer told wanted speak regional manager left message called back yesterday although sympathetic refund fees said allotted enough fee waivers even though fault properly posting real debit end would fee waiver completely disconcerting unfair deceiving practices,Bank account or service
bbva compass charged  plus overdraft fees based upon bank servicing levy illegal face background resident residential property owner times relevant moved two years wrap father estate prior account bbva compass upon relocation business bbva compass closed account location inconvenient account bbva compass late early returned home stay properly registered vehicles came back timely registered vehicles approimately took advantage fees promotion compass open small petty cash account opened  received notice levy notice came compass bank although allegedly sent deceased father home property long sold although lived since late levy notice asserted compass levied account authority franchise ta board failure register period called dept motor vehicles eplained situation withdrew levy see attached forwarded document bbva compass received notice account levied premise car saab registered like registered epiration registration moreover saab atfault driver called dmv ta board withdrew levy see attached forwarded withdrawal compass also called refused take corrective action received overdraft notice account approimately  negative  charged overdraft fees called compass stated right address levy known even though acknowledged current address b business therefore would honor levy illegal authority levy right registration fees car registered another state b error showed face levy listed address bbva compass knew reason know incorrect jurisdiction noncitizens regard registration vehicles compass refuses reverse waive alleged levy handling fee overdraft fees wrongful must corrected thank assistance offer,Bank account or service
currently fell behind mortgage payments internet services always available reached bank several times see options available avail credit score dropping dramaticly finally able make call speak someone asked options told would fill scan fa paperwork see otherwise nothing eplained situation resources readily available told planned better even going entertain ignorance asked could temporarily suspend reporting deliquencies credit bureaus return responded asked paid past due amount right full phone could waive late fees corporate fees well delete derogatory late payments credit report responded nt good standing mortgage payment never late working hard reestablish credit divorce years ago involuntarily serve country leaving kids behind less money try deal willing work bank willing work know protected certain etent scra ca nt start foreclosure proceedings certain amount amount time added unnecessary stress stress absolutley control seeking help cfpb see anything,Mortgage
submitted packet ocwen via  asked additional documentation  provided requested documents   ocwen showing complete financial package housing counselor communication ocwen regards file  became concerned past days still decision told waiting response investor sometimes take days decision kept contact every business days ocwen  last communication ocwen still pending decision complaint fact weeks still decision also submitted escalation,Mortgage
 receiving calls family members friends stating calling leaving messages stating needed reach called number left phone able reach someone person told regards debt quickly pointed received anything mail regards debt proceeds become angry keeps questioning able pay money eplained received written verification attorney looked continued harass yell wanting attorney look verify debt allow speak finally enough hung upset feel violated embarrassed called every single person ever come contact make matters worse never given name debt collection company,Debt collection
fraudulent transactions debit card new perpetrator also pin card used atm purchase airline tickets reported fraud wells deactivated card conducted investigation denied claim negative balance fraudulent transactions total  call wells fargo loss prevention denied claim presumably refused answer questions wf employees different departments deplete account near course account remain open resolved satisfaction banks credit unions country corrupt play major part eventual economic collapse provide information documentation require,Bank account or service
consumer complaintconsumer financial protection bureau sun trust account georgia social security regular customer sun trust bank year account sun trust bank corporation party business relationship transfer corporation business establishment inhouse service person send collect money local branches business facilities banking tellers service received threatening letter sun trust bank united states mail see attachment stated needed obtain additional information regarding prior transactions left impression conducting investigation sort impropriety illegal transaction epressed termination banking relationship personally indicated compliant immediate request would close account severe banking business relationship prompted contact customer support upper levels management customer support telephone asked repeatedly eactly inquiry vague ambiguous never gave direct answer complete eplained relevancy regarding pending issue eplained lack transparency regard full disclosure request made apprehensive suspicious actions asked employees local banking managers possibly mischaracterizing personally negative stereotype profiling eplained criminal history never incarcerated devout family man retired  years receive monthly pension direct deposit bank account likewise elaborated personal business relationships know criminals criminal enterprises  see attachment received termination letter stating terminating relationship closing accounts talked supervisor gave clear indication criminal banking infraction theft fraud money laundering sort impropriety year old law abiding citizen ever criminal investigation indictment sort time circumstance state resided  years bank making improper adverse actions based upon innuendos unfounded suspicions conjectures unfair pseudo accusations mere implications illegal civil rights violations protected class confirmed articulated legitimate non discriminatory reasons justify objectives discriminatory activities base less actions maleficent conduct neither empirical investigation conducted determine serious level impropriety corrupt bank transaction mere accusations vague unsubstantiated day nothing clairvoyant definitive constitutes indictment sort illegality banking policy rules regulation civil law criminality,Bank account or service
actually treatment program ky successfully completed told could go school cost would covered since program ky successfully completed program eight years want get debt credit report agencies help give would greatly appreciated thanks,Credit reporting
applied home loan modification bank america completed trial period approved permanent modification called bank americain make monthly payment csr told would accept payment house foreclosure tried several months calling every week make payment find going one could give straight answer person said glitch system would fied could mail payment thought problem solved day supposed make net monthly payment received back mail payment made still called every month find going one bank america could tell year later hired lawyer online website new york needless say charged dollars month  months dollars nothing took money never appeared court behalf found law firm scammed hundreds consumers filing bankrupt make long story short finally year bank america guess trying get act together late said im far behind help way happend modification called delayed conversion bank america recently sold mortgage im trying go thru modification process looking good strict foreclosure judgement bank americas negligence going lose homenot fair please please anything anyone please let know,Mortgage
inquiries equifa report online credit reporting authorized,Credit reporting
contacted collection agency avanteusa collection letter dated pay avante usa  prior original creditor date service account number,Debt collection
wrongly submitted collection action began new service nothing consistent billing errors always overbilling difficult working customer service department resolve issues couple months ago thought everything finally resolved suddenly received collection notice bill unaware eisted refuses recall notice told pay bill would deal credit reporting bureau unlawful bill dispute believe owed additionally confusing billing practices confuse customers customer service group contacted also confirmed show outstanding balance monthly copy bill since working customer service resolving disputed amounts thought received notice even outstanding balance blackmailed paying bill aware owed threatening collection actions outstanding credit allow use strong arm tactics pulled report included attachment showing consistent trend using unlawful tactics everyone noticed complaints never side billing consistently overbilling issues customer service group resolvoing issues corrected calls discussion happen requested put writing errors miss billings refuse also unlawful since quoting pricing locking consumers three year contracts charging quoting nt find months later trying sort billing,Debt collection
wrong information credit credit report know remove southwest credit systems credit reference number creditor account number belong maryland name md please help get bill credit report south west said bill,Credit reporting
actual name nys id address new york like equifa credit report ask fi issue luck even send copy id fa also email,Credit reporting
contacted collection agency regarding debt well past statute limitations oklahoma state residence contacted son several occasions using language indicated serious legal matter requiring immediate attention identify purpose call,Debt collection
name loan # address complaint requesting wells fargo home mortgage send typed letter response much money credited principle able determine clarity information job control print outs requesting typed response directly states much principle paid loan end year also requesting know typed response much money year held non applied year long much money still held loan non applied payments also requesting eactly payments taken applied received cashed wells fargo home mortgage,Mortgage
owed debt paid account full balance per attached documentation eperian refuses show balance paid full status although provided pay letter numerous times clearly shows paid full balance,Credit reporting
refused remove inaccurate information credit reports also information eight years oldthey also refused provide copies original contracts statements prove validity said debt,Debt collection
bank america charges checks also deposit slips loan money would like free slips also checks formerly given free told cashier could ordered price enough complaints filed corporate may yield regular checking account,Bank account or service
company called threatened put jail would attend classes pay full amount told committed fraud pay full amount send county court contacted friends relatives revealed personal information regarding debt threatened take references jail well,Debt collection
husband school listed coborrower primary importantly reporting inaccurate information current loan monthly automatic payments taken fied error husband credit report refusing correct mine company refused correct issue equifa closed disputes stating creditor validated account information attached supporting documents supporting claims,Credit reporting
attempted acquire loan lending company however nt able lend much due credit history time ever applied loan never applied loan astonishment lender revealed applied credit card  made payment substantially late four months approimately nt even recognize company idea apply credit card college time need credit card since scholarships aid epenses baffled ended credit history called credit bureau transunion told take month get back verify information also send letter via mail never gotten written statement regards issue called credit company directed fraud department stated nt information record ov getting card send written letter via mail predicament year nt received anything,Credit reporting
leaving army looking buy house fianc teenaged children first time home buyers qualified loan found home price range carefully chose bank least likely sell mortgage one year later sold mortgage taken worst possible outcome carefully avoiding mortgage buying process first thing raise mortgage  per month  per month citing deficiency escrow account struggled keep sold family heirlooms cashed annuities anything keep losing house four months later lowered payments  per month getting fewer hours due weather still much us pay able keep year laidoff husband financial crisis may taken bit longer get us rest workforce hit us vengeance friends getting help loans government recommended try tried year get loan mod told qualify still making payments order qualify would behind payments three months nt tell us penalties would continue accrue stopped making payments applied loan mod asked us fa pages costing us dollars least would application would finally get help month passed contacted us send eact paperwork allowed paperwork epire wanted mod choice resend everything monthly theme would spend dollars send paperwork would ignore epired could continue send paperwork every month hope one day would actually review finally let us know mortgage would reduced dollars month turned payments missed plus interest penalties fees forth added mortgage nt even lower interest rate si months later cashed p insurance loan went back sold rushmore loan management began negotiating keep house rushmore told us would come payment least  order get loan modification started paperwork time successful gave us si month trial payment  per month new paperwork came able hire lawyer look carefully read best could nt already signed sent back realized reduced loan payments tacked another ten years onto mortgage  home would end costing us almost dollars time paid would never able pay lifetime since almost rushmore raised mortgage  per month citing deficiency escrow account likely push us foreclosure also cash p insurance,Mortgage
receipt attached equifa report number dated discovered following reporting problems equifa placing blame  fcra requires creditors provide name address telephone credit report allow consumers dispute inaccurate information directly creditor please note number listing report provide contact telemarketing number blatantly ignores law selling products takes arrogance completely new level  account # showing items date reported date last activity report pulled possible payments made month accounts data present  account # listed data available shows data account prior possible accounts established since data reporting information withheld equifa  credit limit accounts  account credit limit equifa credit report listed  showing inaccurate credit debt ratio lowers credit scores  account # listed data available possible payments made month data months information withheld equifa  account # showing items date reported date last activity report pulled possible payments made month data present information withheld credit reporting bureaus,Credit reporting
closed account tcf bank  months ago  balance supposed send check called  times regarding issue  cents tired calling saying sent new check updated address never received difficult failing communicate send small check closing account tired calling worst customer service ever received closing account difficult phone call close send check simple stuff,Bank account or service
essentially complaint wells fargo bank treated like dirt robbed yrs ago wanted heloc loan robbed money id etc event lent  understanding would deduct monthly payment wf checking got loan hit credit reports hard inquiries  wks complained ceo office deal ceo complaint dept az ok nothing really help figured let go got removed hard inquiries everyone knows hard inquiry goes credit pts apiece tell pts ok problems ethics lack thereof recently sold property decided going pay open credit accts wf supposed take money checking payment bank checking purpose guess took  days early nt keep much checking least  took local bank went bankrupt charge wf decided charge  keep less average  senior citizen choose put wf minimal several times wf took payment early even though knew deposited check another bank visible said money paid personal line credit paying personal line credit charged overdraft fee time  even though money put bank also hold cash inside wf acct another get another day interest ok paid  wf checking done online instant transfer loan account showed pending  days decided put wf checking pay another loan paid  loan knowing put another hold pending money transferred acct went transfer  wf checking wf loan says course pending cash goodness sake cash ok happened look noticed change notified noticed said entire loan  available well pay much  wks knew wrong looked good ole wf bank lowered amt loan course full intent opinion destroying credit bank couple yrs ago unethical however time complaint bothered tell done happened see amount loan amount available  scum decided going go wf bank mon pay remainder cash close acct unethical bank anything take random fees plus borrowing fee less loan acct going close acct bring cash mon wondering refuse payoff nt want money bank claim see payments make banks see payments make bank yrs old highly ethical unnerves end worked hard  yrs treated bad bank w ethics feel public made aware lack standards tricks tactics crooked wf deserve business another home real estate market home started millions sale sale since  sold paid needless say money go another bk,Bank account or service
complaints received letter stating us bank would decision approval short sale file nt even reviewed negotiator lien approval epires needed approval us bank order close time left numerous messages supervisors return call email,Mortgage
complaint sent bank america take long merchandise purchased using debit card pin # several weeks ago clear continues pend thereafter deducting funds new deposit based salary infrequent pay periods working poor college student maintain meticulous records transactions auditing account unnecessarily amount calculated due pending transactions first several deposit funds clearly available time card swiped nt true would nt able make purchases even credit end fault become victim overdraft chargers insufficient fees shifting money savings account clear transactions assumed cleared good standing scared touch money earn deposit feel like business loan shark please help understand boa conducts business regarding concern,Bank account or service
missing information credit report right credit correctly reported credit report trans union done great job cleaning credit report need items reported correctly order offset fraud happened name,Credit reporting
submitted poa power attorney documents id mother theft identity complaint mother equifa attempted set credit monitoring company refused based poa equino stated different occasions would honor poa allow monitor mother credit attached related documents date though refusal grounds given phone,Credit reporting
information closed reversed,Credit reporting
applied refinance mortgage single family home reside provided information parsimoniously requested past  months strung along process required increase home insurance coverage accomodate sebonic financial requirements provided appraisals demostrating well  equity home began engaging sebonic mortgage cardinal financial process credit rating good received email mortgage representative finally thanks requested update lockdesk know slammed provide update soon hear may tomorrow though thanks wed  gt wrote yes finally received verification information get update records third party verification company,Mortgage
company called times less minutes happens several times day received mail company regards alleged debt,Debt collection
disputed collection credit report received dispute results completing processing dispute results removed deleted date trans union complete dispute   collection agency rereported credit report already removed account company received written communication please assist removal permanently thanks,Credit reporting
attempted contact reporting agency chesystems via mail several times regards reporting matters also tried inform reason received certain charges yet closed account reported agency timeframe correct mindframe knowledgeable proper procedure take handle issue college student directly focus career making better living child seeking help branch bankers customer service reps reporting agency yet one gave direction handle issue feel given fair opportunity handle personal banking issue tossed around various departments could assist addition reporting agency states hold report  years issue made  year anniversary mark  according policy th year removed agency,Credit reporting
